team_id,team_display_name,team_abbreviation,pts_allowed_avg,games_played,pts_allowed_avg_pctl,defense_tier,opp_player_pts_avg,opp_player_reb_avg,opp_player_ast_avg,opp_player_pra_avg
3,Dallas Wings,DAL,85.76923076923077,26,40.0,Good,9.139344262295081,3.6434426229508197,2.139344262295082,14.922131147540984
5,Indiana Fever,IND,89.65384615384616,26,80.0,Below_Avg,9.10546875,3.0859375,2.0,14.19140625
6,Los Angeles Sparks,LA,93.64,25,100.0,Poor,9.25296442687747,3.5217391304347827,2.2015810276679844,14.976284584980236
8,Minnesota Lynx,MIN,83.07407407407408,27,20.0,Elite,8.43233082706767,3.2969924812030076,2.0413533834586466,13.770676691729323
9,New York Liberty,NY,85.85185185185185,27,46.666666666666664,Average,8.714285714285714,3.2406015037593985,2.1165413533834587,14.071428571428571
11,Phoenix Mercury,PHX,86.70370370370371,27,60.0,Average,8.901140684410647,3.44106463878327,2.1368821292775664,14.479087452471482
14,Seattle Storm,SEA,87.07142857142857,28,66.66666666666666,Below_Avg,8.897810218978103,3.6350364963503647,2.091240875912409,14.624087591240876
16,Washington Mystics,WSH,82.48,25,13.333333333333334,Elite,8.150197628458498,3.0316205533596836,1.91699604743083,13.098814229249012
17,Las Vegas Aces,LV,86.07692307692308,26,53.333333333333336,Average,8.509505703422054,3.3193916349809887,1.8517110266159695,13.680608365019012
18,Connecticut Sun,CON,85.6923076923077,26,33.33333333333333,Good,8.737254901960783,3.3058823529411763,1.988235294117647,14.031372549019608
19,Chicago Sky,CHI,89.53846153846153,26,73.33333333333333,Below_Avg,8.885496183206106,3.717557251908397,1.9580152671755726,14.561068702290076
20,Atlanta Dream,ATL,85.26923076923077,26,26.666666666666668,Good,8.494252873563218,2.9578544061302683,1.9578544061302683,13.409961685823754
129689,Golden State Valkyries,GS,76.37037037037037,27,6.666666666666667,Elite,7.930769230769231,3.419230769230769,1.9153846153846155,13.265384615384615
131935,Toronto Tempo,TOR,92.92307692307692,26,93.33333333333333,Poor,9.186311787072244,3.4600760456273765,2.129277566539924,14.775665399239545
132052,Portland Fire,POR,90.1923076923077,26,86.66666666666667,Poor,8.984674329501916,3.3869731800766285,2.318007662835249,14.689655172413794
